phase,method,p,delay_mode,spy_selection_method,bribed_nodes,run_count,accuracy_mean,accuracy_median,accuracy_stdev,score_adv_mean,score_adv_median,score_adv_stdev,mean_t80_mean,mean_t80_median,mean_t80_stdev,score_honest_mean,score_honest_median,score_honest_stdev
1,no_attack,0.5,none,none,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.6242268590927125,0.5317103445529938,0.18005511984577002,1.6872054317008796,1.8807232363340511,0.37254931352513077
2,advanced_timing,0.5,none,cluster_spread,1,5,0.133,0.12,0.027522717889045773,0.133,0.12,0.027522717889045773,0.6254495332241058,0.5323530805110931,0.1816736935573787,1.4606762308699315,1.5779001394967906,0.33123226402207373
2,advanced_timing,0.5,none,cluster_spread,2,5,0.39,0.395,0.13941843493598688,0.195,0.1975,0.06970921746799344,0.6268712329864502,0.533449627161026,0.17813941652820592,1.028947757879806,1.1655994435264003,0.32722394418552214
2,advanced_timing,0.5,none,cluster_spread,3,5,0.6719999999999999,0.765,0.14515508947329409,0.22400000000000003,0.255,0.04838502982443136,0.6244177863597871,0.5324294769763946,0.179602568869919,0.5269270377534329,0.4251244775743462,0.1993354021821172
2,advanced_timing,0.5,none,cluster_spread,4,5,0.764,0.79,0.10070997964452184,0.191,0.1975,0.02517749491113046,0.624579089641571,0.531472018957138,0.17998295135050443,0.4072259989763575,0.3072173547961668,0.2330016505576382
2,advanced_timing,0.5,none,cluster_spread,5,5,0.7939999999999999,0.85,0.12929617163705973,0.1588,0.16999999999999998,0.025859234327411936,0.6254745051860809,0.5322814333438873,0.18087682719472165,0.36558326913553135,0.2557945013191725,0.28151325382250497
2,advanced_timing,0.5,none,cluster_spread,6,5,0.825,0.85,0.10283481900601563,0.1375,0.14166666666666666,0.017139136501002603,0.6263154911994934,0.5342462944984436,0.1803066325881706,0.30312944633811445,0.2085972199902741,0.222151558737618
2,first_spy,0.5,none,cluster_spread,1,5,0.11499999999999999,0.105,0.06973162840490676,0.11499999999999999,0.105,0.06973162840490676,0.6254495332241058,0.5323530805110931,0.1816736935573787,1.5067313748496654,1.68121502958289,0.3962821473538748
2,first_spy,0.5,none,cluster_spread,2,5,0.246,0.23,0.07773351915358007,0.123,0.115,0.03886675957679003,0.6268712329864502,0.533449627161026,0.17813941652820592,1.2762512135884643,1.3811982054633256,0.3315717812561886
2,first_spy,0.5,none,cluster_spread,3,5,0.44800000000000006,0.395,0.10383881740466812,0.14933333333333335,0.13166666666666668,0.034612939134889366,0.6244177863597871,0.5324294769763946,0.179602568869919,0.9208466383821324,0.8313545339231658,0.24457930833485608
2,first_spy,0.5,none,cluster_spread,4,5,0.589,0.62,0.11132160616879366,0.14725,0.155,0.027830401542198416,0.624579089641571,0.531472018957138,0.17998295135050443,0.7027666255789469,0.5590717277843937,0.28538381837684995
2,first_spy,0.5,none,cluster_spread,5,5,0.638,0.64,0.1066887997870442,0.1276,0.128,0.021337759957408834,0.6254745051860809,0.5322814333438873,0.18087682719472165,0.6159301261372803,0.5021151322191163,0.25790517293101595
2,first_spy,0.5,none,cluster_spread,6,5,0.6719999999999999,0.625,0.09692780818733088,0.11200000000000002,0.10416666666666667,0.016154634697888474,0.6263154911994934,0.5342462944984436,0.1803066325881706,0.5481084593547031,0.4091714699809223,0.21038958560627352
