run_name,phase,method,p,seed,delay_mode,spy_selection_method,bribed_nodes,total_packets,correct_guesses,accuracy,score_adv,mean_t80,median_t80,score_honest,missing_observation_packets
phase2_seed303_spies3,2,advanced_timing,0.5,303,none,cluster_spread,3,200,153,0.765,0.255,0.6175243902206421,0.6095136404037476,0.38055177045887084,0
phase2_seed303_spies4,2,first_spy,0.5,303,none,cluster_spread,4,200,133,0.665,0.16625,0.6184546446800232,0.6083840131759644,0.541672704509031,0
phase2_seed303_spies4,2,advanced_timing,0.5,303,none,cluster_spread,4,200,162,0.81,0.2025,0.6184546446800232,0.6083840131759644,0.3072173547961668,0
phase2_seed303_spies5,2,first_spy,0.5,303,none,cluster_spread,5,200,148,0.74,0.148,0.6198221635818482,0.6115841865539551,0.41947515799935853,0
phase2_seed303_spies5,2,advanced_timing,0.5,303,none,cluster_spread,5,200,181,0.905,0.181,0.6198221635818482,0.6115841865539551,0.15326976926899633,0
phase2_seed303_spies6,2,first_spy,0.5,303,none,cluster_spread,6,200,149,0.745,0.12416666666666666,0.6232106065750123,0.6122255325317383,0.4091714699809223,0
phase2_seed303_spies6,2,advanced_timing,0.5,303,none,cluster_spread,6,200,174,0.87,0.145,0.6232106065750123,0.6122255325317383,0.2085972199902741,0
phase2_seed404_spies1,2,first_spy,0.5,404,none,cluster_spread,1,200,13,0.065,0.065,0.5267328679561615,0.5110889673233032,1.7750933288594735,0
phase2_seed404_spies1,2,advanced_timing,0.5,404,none,cluster_spread,1,200,21,0.105,0.105,0.5267328679561615,0.5110889673233032,1.6991535073039878,0
phase2_seed404_spies2,2,first_spy,0.5,404,none,cluster_spread,2,200,58,0.29,0.145,0.5256738185882568,0.5117040872573853,1.3506474450387644,0
phase2_seed404_spies2,2,advanced_timing,0.5,404,none,cluster_spread,2,200,111,0.555,0.2775,0.5256738185882568,0.5117040872573853,0.846532553580634,0
phase2_seed404_spies3,2,first_spy,0.5,404,none,cluster_spread,3,200,112,0.56,0.18666666666666668,0.529256751537323,0.5113675594329834,0.8313545339231658,0
phase2_seed404_spies3,2,advanced_timing,0.5,404,none,cluster_spread,3,200,155,0.775,0.25833333333333336,0.529256751537323,0.5113675594329834,0.4251244775743462,0
